date_last_run,n_in_all_tiers,n_tier0,n_tier1,n_tier2
2020-10-25T02:34:37Z,90196,87598,736,1862
2020-10-24T01:34:37Z,90027,87429,736,1862
2020-10-23T01:34:55Z,89572,86966,736,1870
2020-10-22T01:37:00Z,89059,86456,735,1868
2020-10-21T01:38:01Z,88504,85906,735,1863
2020-10-19T01:34:26Z,87418,84827,735,1856
2020-10-18T01:34:30Z,87364,84773,735,1856
2020-10-17T01:33:27Z,87353,84762,735,1856
2020-10-16T01:34:01Z,86967,84380,736,1851
2020-10-15T01:33:52Z,86548,83965,736,1847
2020-10-14T08:53:04Z,86199,83623,733,1843
2020-09-29T01:30:41Z,82419,79906,717,1796
2020-09-28T01:29:43Z,82107,79595,717,1795
2020-09-27T01:29:44Z,82086,79574,717,1795
2020-09-26T01:30:35Z,82076,79564,717,1795
2020-09-25T01:30:20Z,81893,79388,715,1790
2020-09-24T01:29:46Z,81630,79128,714,1788
2020-09-23T01:30:00Z,81359,78872,705,1782
2020-09-22T01:29:22Z,81143,78657,706,1780
2020-09-21T01:29:57Z,80979,78489,708,1782
2020-09-20T01:29:40Z,80973,78483,708,1782
2020-09-19T01:30:12Z,80963,78474,708,1781
2020-09-18T01:29:42Z,80839,78349,707,1783
2020-09-15T01:29:52Z,80449,77962,707,1780
2020-09-14T01:30:18Z,80308,77823,706,1779
2020-09-13T01:30:59Z,80300,77815,706,1779
2020-09-12T01:30:26Z,80296,77811,706,1779
2020-09-11T01:30:57Z,80196,77712,706,1778
2020-09-10T01:29:41Z,80132,77650,706,1776
2020-09-09T01:30:05Z,80030,77554,703,1773
2020-09-08T01:29:46Z,79915,77442,701,1772
2020-09-07T01:30:05Z,79841,77366,701,1774
2020-09-06T01:29:28Z,79830,77355,701,1774
2020-09-05T01:29:52Z,79826,77352,702,1772
2020-09-04T01:29:54Z,79742,77268,702,1772
2020-09-03T01:29:37Z,79667,77192,702,1773
2020-09-02T01:28:44Z,79560,77086,702,1772
2020-09-01T01:28:52Z,79471,77003,701,1767
2020-08-31T01:29:14Z,79461,76993,701,1767
2020-08-30T01:29:09Z,79452,76984,701,1767
2020-08-29T01:29:13Z,79451,76983,701,1767
2020-08-28T01:29:20Z,79401,76933,702,1766
2020-08-27T01:29:15Z,79342,76874,702,1766
2020-08-26T01:29:13Z,79260,76794,702,1764
2020-08-25T01:29:14Z,79174,76706,706,1762
2020-08-24T01:29:41Z,79081,76614,706,1761
2020-08-23T01:29:20Z,79078,76611,706,1761
2020-08-22T01:29:27Z,79076,76609,706,1761
2020-08-21T01:29:43Z,78978,76512,706,1760
2020-08-20T01:29:41Z,78904,76438,706,1760
2020-08-18T01:29:08Z,78723,76259,707,1757
2020-08-17T01:29:17Z,78603,76144,705,1754
2020-08-16T01:28:35Z,78596,76139,704,1753
2020-08-15T01:29:00Z,78594,76137,704,1753
2020-08-14T01:29:19Z,78528,76070,705,1753
2020-08-13T01:29:29Z,78396,75937,706,1753
2020-08-12T01:28:11Z,78303,75846,705,1752
2020-08-11T01:28:06Z,78131,75676,705,1750
2020-08-10T01:28:17Z,77916,75464,704,1748
2020-08-09T01:27:39Z,77909,75458,703,1748
2020-08-08T01:28:13Z,77907,75457,702,1748
2020-08-07T01:27:56Z,77810,75359,704,1747
2020-07-24T01:24:48Z,74700,72351,682,1667
2020-07-23T01:24:02Z,74421,72077,678,1666
2020-07-22T01:21:46Z,73947,71603,678,1666
2020-07-21T01:41:23Z,73475,71137,674,1664
2020-07-20T01:22:30Z,73184,70851,668,1665
2020-07-19T01:22:26Z,73180,70847,668,1665
2020-07-18T01:22:19Z,73144,70812,667,1665
2020-07-17T01:27:34Z,72766,70434,666,1666
2020-07-16T01:21:14Z,72365,70036,665,1664
2020-07-15T01:20:58Z,72021,69693,665,1663
2020-07-14T01:21:38Z,71683,69356,665,1662
2020-07-13T01:21:44Z,71373,69049,664,1660
2020-07-12T01:21:40Z,71351,69027,664,1660
2020-07-11T01:21:25Z,71337,69013,664,1660
2020-07-10T01:21:13Z,71032,68717,663,1652
2020-07-09T01:20:49Z,70669,68359,660,1650
2020-07-08T01:20:24Z,70253,67947,660,1646
2020-07-07T01:25:32Z,69805,67497,659,1649
2020-07-06T01:20:06Z,69354,67053,659,1642
2020-07-05T01:19:08Z,69330,67032,659,1639
2020-07-04T01:19:17Z,69282,66989,658,1635
2020-07-03T01:19:30Z,68937,66650,656,1631
2020-07-02T01:18:36Z,68391,66108,654,1629
2020-07-01T01:18:43Z,67762,65482,652,1628
2020-06-30T01:18:48Z,67271,64996,648,1627
2020-06-29T01:17:45Z,66659,64390,644,1625
2020-06-28T01:17:53Z,66591,64322,644,1625
2020-06-27T01:17:33Z,66550,64281,644,1625
2020-06-26T01:18:45Z,66189,63928,640,1621
2020-06-25T01:19:02Z,65776,63516,641,1619
2020-06-24T01:19:34Z,65085,62833,637,1615
2020-06-23T01:18:03Z,64070,61825,629,1616
2020-06-22T01:18:36Z,63406,61175,628,1603
2020-06-21T01:18:47Z,63359,61131,627,1601
2020-06-20T01:18:07Z,63300,61072,627,1601
2020-06-19T01:17:37Z,62632,60415,626,1591
2020-06-18T01:18:14Z,62007,59808,620,1579
2020-06-17T01:17:26Z,60964,58781,619,1564
2020-06-16T01:16:41Z,60009,57840,616,1553
2020-06-15T01:16:24Z,59283,57124,618,1541
2020-06-14T01:16:56Z,59246,57087,619,1540
2020-06-13T01:16:33Z,59201,57045,619,1537
2020-06-12T01:16:13Z,58390,56239,617,1534
2020-06-11T01:15:59Z,57554,55418,613,1523
